>Feature	Ctg44_length_309375			
			product	hypothetical protein
347310	349886	gene		
			locus_tag	LWC14_03280
349886	347310	CDS		
			product	hypothetical protein, conserved
142917	145451	gene		
			locus_tag	LWC14_03281
145451	142917	CDS		
			product	Present in the outer mitochondrial membrane proteome 37
205137	207011	gene		
			locus_tag	LWC14_03282
207011	205137	CDS		
			product	ATP synthase F1, alpha subunit
108591	109790	gene		
			locus_tag	LWC14_03283
109790	108591	CDS		
			product	Vta1 like, putative
266459	267631	gene		
			locus_tag	LWC14_03284
267631	266459	CDS		
			product	hypothetical protein, conserved
309219	311507	gene		
			locus_tag	LWC14_03285
311507	309219	CDS		
			product	hypothetical protein
258084	258581	gene		
			locus_tag	LWC14_03286
258581	258084	CDS		
			product	monothiol glutaredoxin, putative
2406	3041	gene		
			locus_tag	LWC14_03287
3041	2406	CDS		
			product	hypothetical protein
124960	128607	gene		
			locus_tag	LWC14_03288
128607	124960	CDS		
			product	CYC2-like cyclin, putative
13616	15616	gene		
			locus_tag	LWC14_03289
13616	15616	CDS		
			product	hypothetical protein, conserved
76292	76915	gene		
			locus_tag	LWC14_03290
76915	76292	CDS		
			product	LSU ribosomal protein, mitochondrial, putative
47235	47438	gene		
			locus_tag	LWC14_03291
47235	47438	CDS		
			product	hypothetical protein
105221	107698	gene		
			locus_tag	LWC14_03292
107698	105221	CDS		
			product	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative
23093	23851	gene		
			locus_tag	LWC14_03293
23093	23851	CDS		
			product	methyltransferase domain containing protein, putative
16289	19090	gene		
			locus_tag	LWC14_03294
16289	19090	CDS		
			product	Phosphatidylinositol 4-phosphate 5-kinase, putative
288157	293331	gene		
			locus_tag	LWC14_03295
293331	288157	CDS		
			product	hypothetical protein, conserved
250307	251779	gene		
			locus_tag	LWC14_03296
251779	250307	CDS		
			product	trypanothione reductase
202412	203527	gene		
			locus_tag	LWC14_03297
203527	202412	CDS		
			product	Trans-2-enoyl-ACP reductase 2, putative
233070	235217	gene		
			locus_tag	LWC14_03298
235217	233070	CDS		
			product	STE/STE11 serine/threonine-protein kinase, putative
187008	188270	gene		
			locus_tag	LWC14_03299
188270	187008	CDS		
			product	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit, putative
265367	266059	gene		
			locus_tag	LWC14_03300
266059	265367	CDS		
			product	protein tyrosine phosphatase, putative
53362	55476	gene		
			locus_tag	LWC14_03301
55476	53362	CDS		
			product	hypothetical protein
363840	365345	gene		
			locus_tag	LWC14_03302
365345	363840	CDS		
			product	mitochondrial ribosomal protein L4
33531	34919	gene		
			locus_tag	LWC14_03303
33531	34919	CDS		
			product	protein phosphatase 1, regulatory subunit, putative
147318	151325	gene		
			locus_tag	LWC14_03304
151325	147318	CDS		
			product	hypothetical protein
319770	321119	gene		
			locus_tag	LWC14_03305
321119	319770	CDS		
			product	hypothetical protein, conserved
366630	367730	gene		
			locus_tag	LWC14_03306
367730	366630	CDS		
			product	hypothetical protein
88722	92111	gene		
			locus_tag	LWC14_03307
92111	88722	CDS		
			product	hypothetical protein, conserved
262010	264115	gene		
			locus_tag	LWC14_03308
264115	262010	CDS		
			product	mitochondrial carrier protein
215083	215832	gene		
			locus_tag	LWC14_03309
215832	215083	CDS		
			product	hypothetical protein, conserved
253992	257528	gene		
			locus_tag	LWC14_03310
257528	253992	CDS		
			product	minichromosome maintenance (MCM) complex subunit, putative
209753	211879	gene		
			locus_tag	LWC14_03311
211879	209753	CDS		
			product	riboflavin transporter
65088	67076	gene		
			locus_tag	LWC14_03312
67076	65088	CDS		
			product	paraflagellar rod protein, putative
194368	194718	gene		
			locus_tag	LWC14_03313
194718	194368	CDS		
			product	u6 snrna-associated sm-like protein lsm3
169537	170937	gene		
			locus_tag	LWC14_03314
170937	169537	CDS		
			product	hypothetical protein
190263	192083	gene		
			locus_tag	LWC14_03315
192083	190263	CDS		
			product	hypothetical protein, conserved
294119	297769	gene		
			locus_tag	LWC14_03316
297769	294119	CDS		
			product	hypothetical protein
81794	86086	gene		
			locus_tag	LWC14_03317
86086	81794	CDS		
			product	hypothetical protein
216241	219480	gene		
			locus_tag	LWC14_03318
219480	216241	CDS		
			product	hypothetical protein, conserved
321740	322459	gene		
			locus_tag	LWC14_03319
322459	321740	CDS		
			product	hypothetical protein, conserved
152003	155368	gene		
			locus_tag	LWC14_03320
155368	152003	CDS		
			product	leucine-rich repeat protein (LRRP), putative
48205	49266	gene		
			locus_tag	LWC14_03321
48205	49266	CDS		
			product	V-type proton ATPase subunit D, putative
340701	342452	gene		
			locus_tag	LWC14_03322
342452	340701	CDS		
			product	paraflagellar rod component par4, putative
75208	75948	gene		
			locus_tag	LWC14_03323
75948	75208	CDS		
			product	hypothetical protein, conserved
19925	22072	gene		
			locus_tag	LWC14_03324
19925	22072	CDS		
			product	Sister chromatid cohesion protein 1
324164	326413	gene		
			locus_tag	LWC14_03325
326413	324164	CDS		
			product	nucleolar RNA helicase II, putative
223681	224010	gene		
			locus_tag	LWC14_03326
224010	223681	CDS		
			product	dynein light chain Tctex-type, putative
35385	35981	gene		
			locus_tag	LWC14_03327
35385	35981	CDS		
			product	prefoldin subunit, putative
67706	74491	gene		
			locus_tag	LWC14_03328
74491	67706	CDS		
			product	Mono-functional DNA-alkylating methyl methanesulfonate N-term/CPSF A subunit region, putative
110975	114772	gene		
			locus_tag	LWC14_03329
114772	110975	CDS		
			product	hypothetical protein
87311	88243	gene		
			locus_tag	LWC14_03330
88243	87311	CDS		
			product	methylthioadenosine phosphorylase, putative
45330	46778	gene		
			locus_tag	LWC14_03331
45330	46778	CDS		
			product	hypothetical protein, conserved
277347	280172	gene		
			locus_tag	LWC14_03332
280172	277347	CDS		
			product	cytosolic Fe-S cluster assembly factor NAR1, putative
11479	13119	gene		
			locus_tag	LWC14_03333
11479	13119	CDS		
			product	ATPase, putative
379445	380989	gene		
			locus_tag	LWC14_03334
380989	379445	CDS		
			product	major facilitator superfamily, putative
163309	166233	gene		
			locus_tag	LWC14_03335
166233	163309	CDS		
			product	kinesin, putative
178856	182260	gene		
			locus_tag	LWC14_03336
182260	178856	CDS		
			product	ATP-dependent DEAD/H RNA helicase, putative
306155	307750	gene		
			locus_tag	LWC14_03337
307750	306155	CDS		
			product	dihydrolipoamide branched chain transacylase, putative
228887	232582	gene		
			locus_tag	LWC14_03338
232582	228887	CDS		
			product	structural maintenance of chromosome 2, putative
93458	95155	gene		
			locus_tag	LWC14_03339
95155	93458	CDS		
			product	MYND finger, putative
302738	304453	gene		
			locus_tag	LWC14_03340
304453	302738	CDS		
			product	Pre-mRNA polyadenylation factor FIP1
224430	228125	gene		
			locus_tag	LWC14_03341
228125	224430	CDS		
			product	Anaphase-promoting complex subunit CDC27
268346	270754	gene		
			locus_tag	LWC14_03342
270754	268346	CDS		
			product	hypothetical protein, conserved
221097	222944	gene		
			locus_tag	LWC14_03343
222944	221097	CDS		
			product	hypothetical protein, conserved
343862	344446	gene		
			locus_tag	LWC14_03344
344446	343862	CDS		
			product	small GTP-binding protein, putative
345277	345696	gene		
			locus_tag	LWC14_03345
345696	345277	CDS		
			product	hypothetical protein, conserved
283165	285585	gene		
			locus_tag	LWC14_03346
285585	283165	CDS		
			product	kinetoplastid-specific dual specificity phosphatase, putative
95570	96859	gene		
			locus_tag	LWC14_03347
96859	95570	CDS		
			product	Mitoribosomal SSU assembly factor 19
97751	98182	gene		
			locus_tag	LWC14_03348
98182	97751	CDS		
			product	hypothetical protein, conserved
5288	6955	gene		
			locus_tag	LWC14_03349
6955	5288	CDS		
			product	hypothetical protein
312083	313372	gene		
			locus_tag	LWC14_03350
313372	312083	CDS		
			product	hypothetical protein, conserved
313825	314325	gene		
			locus_tag	LWC14_03351
314325	313825	CDS		
			product	hypothetical protein
314571	315281	gene		
			locus_tag	LWC14_03352
314571	315281	CDS		
			product	hypothetical protein
316771	318792	gene		
			locus_tag	LWC14_03353
318792	316771	CDS		
			product	serine/threonine protein phosphatase, putative
372215	376363	gene		
			locus_tag	LWC14_03354
376363	372215	CDS		
			product	hypothetical protein
376666	378771	gene		
			locus_tag	LWC14_03355
378771	376666	CDS		
			product	hypothetical protein
360413	360664	gene		
			locus_tag	LWC14_03356
360664	360413	CDS		
			product	hypothetical protein
361003	363087	gene		
			locus_tag	LWC14_03357
363087	361003	CDS		
			product	Mitoribosomal LSU assembly factor 4
183482	183961	gene		
			locus_tag	LWC14_03358
183961	183482	CDS		
			product	hypothetical protein
184172	186484	gene		
			locus_tag	LWC14_03359
186484	184172	CDS		
			product	hypothetical protein, conserved
99470	102586	gene		
			locus_tag	LWC14_03360
102586	99470	CDS		
			product	kinesin, putative
103422	104618	gene		
			locus_tag	LWC14_03361
104618	103422	CDS		
			product	kinesin, putative
26978	28057	gene		
			locus_tag	LWC14_03362
26978	28057	CDS		
			product	hypothetical protein
30959	31675	gene		
			locus_tag	LWC14_03363
30959	31675	CDS		
			product	RNA-binding protein, putative
133976	135889	gene		
			locus_tag	LWC14_03364
135889	133976	CDS		
			product	hypothetical protein
10395	11189	gene		
			locus_tag	LWC14_03365
10395	11189	CDS		
			product	p22 protein precursor, putative
386498	391933	gene		
			locus_tag	LWC14_03366
391933	386498	CDS		
			product	ABC transporter, putative
392307	393341	gene		
			locus_tag	LWC14_03367
393341	392307	CDS		
			product	tatD related deoxyribonuclease, putative
381739	383391	gene		
			locus_tag	LWC14_03368
383391	381739	CDS		
			product	hypothetical protein, conserved
383790	384434	gene		
			locus_tag	LWC14_03369
384434	383790	CDS		
			product	hypothetical protein, conserved
393955	399201	gene		
			locus_tag	LWC14_03370
399201	393955	CDS		
			product	ABC transporter, putative
401116	402150	gene		
			locus_tag	LWC14_03371
402150	401116	CDS		
			product	tatD related deoxyribonuclease, putative
245895	246593	gene		
			locus_tag	LWC14_03372
246593	245895	CDS		
			product	hypothetical protein
247281	249059	gene		
			locus_tag	LWC14_03373
249059	247281	CDS		
			product	ATP-dependent DEAD/H RNA helicase, putative
171209	173644	gene		
			locus_tag	LWC14_03374
173644	171209	CDS		
			product	RNA-binding protein, putative
173971	174387	gene		
			locus_tag	LWC14_03375
174387	173971	CDS		
			product	hypothetical protein
175252	178560	gene		
			locus_tag	LWC14_03376
178560	175252	CDS		
			product	COG4 transport protein, putative
195302	196351	gene		
			locus_tag	LWC14_03377
196351	195302	CDS		
			product	hypothetical protein
199798	201666	gene		
			locus_tag	LWC14_03378
201666	199798	CDS		
			product	hypothetical protein, conserved
52772	52846	gene		
			locus_tag	LWC14_07293
52772	52846	tRNA		
			product	tRNA-Arg(acg)
>Feature	Ctg55_length_366998			
136648	137550	gene		
			locus_tag	LWC14_03379
137550	136648	CDS		
			product	KREPA6
297806	299296	gene		
			locus_tag	LWC14_03380
297806	299296	CDS		
			product	hypothetical protein
7507	7743	gene		
			locus_tag	LWC14_03381
7743	7507	CDS		
			product	histone H3, putative
327093	328487	gene		
			locus_tag	LWC14_03382
328487	327093	CDS		
			product	ZFP family member, putative
287204	288832	gene		
			locus_tag	LWC14_03383
287204	288832	CDS		
			product	hypothetical protein
2982	3371	gene		
			locus_tag	LWC14_03384
3371	2982	CDS		
			product	histone H3, putative
272747	275377	gene		
			locus_tag	LWC14_03385
272747	275377	CDS		
			product	hypothetical protein, conserved
52627	53370	gene		
			locus_tag	LWC14_03386
53370	52627	CDS		
			product	eukaryotic translation initiation factor 6, putative
134571	135608	gene		
			locus_tag	LWC14_03387
135608	134571	CDS		
			product	Protein C21orf2 homolog, putative
218228	218737	gene		
			locus_tag	LWC14_03388
218228	218737	CDS		
			product	hypothetical protein, conserved
164756	165691	gene		
			locus_tag	LWC14_03389
165691	164756	CDS		
			product	cdc2-related kinase 3
48245	51469	gene		
			locus_tag	LWC14_03390
51469	48245	CDS		
			product	protein kinase, putative
91606	94944	gene		
			locus_tag	LWC14_03391
94944	91606	CDS		
			product	hypothetical protein
292509	294287	gene		
			locus_tag	LWC14_03392
292509	294287	CDS		
			product	pumillo RNA binding protein PUF1
219529	220641	gene		
			locus_tag	LWC14_03393
219529	220641	CDS		
			product	zinc finger protein family member, putative
193353	194024	gene		
			locus_tag	LWC14_03394
193353	194024	CDS		
			product	hypothetical protein, conserved
323302	324381	gene		
			locus_tag	LWC14_03395
324381	323302	CDS		
			product	hypothetical protein
269141	270499	gene		
			locus_tag	LWC14_03396
269141	270499	CDS		
			product	PUB domain containing protein, putative
340256	341113	gene		
			locus_tag	LWC14_03397
341113	340256	CDS		
			product	Vacuolar iron transporter 1, putative
81806	82891	gene		
			locus_tag	LWC14_03398
82891	81806	CDS		
			product	ADP-ribosylation factor-like protein 13, putative
223375	225057	gene		
			locus_tag	LWC14_03399
223375	225057	CDS		
			product	phosphatidylinositol-4-phosphate 5-kinase, putative
60017	60997	gene		
			locus_tag	LWC14_03400
60997	60017	CDS		
			product	protein kinase, putative
251615	253573	gene		
			locus_tag	LWC14_03401
251615	253573	CDS		
			product	predicted SET domain protein
321913	322371	gene		
			locus_tag	LWC14_03402
322371	321913	CDS		
			product	zinc finger protein 3
73062	80087	gene		
			locus_tag	LWC14_03403
80087	73062	CDS		
			product	cyclic nucleotide-binding domain containing protein, putative
98997	104294	gene		
			locus_tag	LWC14_03404
104294	98997	CDS		
			product	TPR-repeat-containing chaperone protein DNAJ, putative
88396	90213	gene		
			locus_tag	LWC14_03405
90213	88396	CDS		
			product	zinc transporter, putative
210629	211348	gene		
			locus_tag	LWC14_03406
210629	211348	CDS		
			product	hypothetical protein, conserved
289863	291626	gene		
			locus_tag	LWC14_03407
289863	291626	CDS		
			product	hypothetical protein
266316	268400	gene		
			locus_tag	LWC14_03408
266316	268400	CDS		
			product	MEKK-related kinase 1, putative
131569	133275	gene		
			locus_tag	LWC14_03409
133275	131569	CDS		
			product	Mitogen-activated protein kinase 6
319841	320095	gene		
			locus_tag	LWC14_03410
320095	319841	CDS		
			product	hypothetical protein, conserved
115113	118295	gene		
			locus_tag	LWC14_03411
118295	115113	CDS		
			product	zinc finger protein family member, putative
261928	262398	gene		
			locus_tag	LWC14_03412
261928	262398	CDS		
			product	hypothetical protein, conserved
13131	13673	gene		
			locus_tag	LWC14_03413
13673	13131	CDS		
			product	40S ribosomal protein S10, putative
207137	207877	gene		
			locus_tag	LWC14_03414
207137	207877	CDS		
			product	transcription factor IIa, putative
347258	348259	gene		
			locus_tag	LWC14_03415
348259	347258	CDS		
			product	hypothetical protein, conserved
212793	215258	gene		
			locus_tag	LWC14_03416
212793	215258	CDS		
			product	J binding protein 3, putative
262695	263849	gene		
			locus_tag	LWC14_03417
262695	263849	CDS		
			product	hypothetical protein
162377	163141	gene		
			locus_tag	LWC14_03418
163141	162377	CDS		
			product	hypothetical protein, conserved
138248	139474	gene		
			locus_tag	LWC14_03419
139474	138248	CDS		
			product	hypothetical protein
349944	352631	gene		
			locus_tag	LWC14_03420
352631	349944	CDS		
			product	hypothetical protein
353960	354418	gene		
			locus_tag	LWC14_03421
354418	353960	CDS		
			product	Acyl carrier protein, mitochondrial
279800	283786	gene		
			locus_tag	LWC14_03422
279800	283786	CDS		
			product	hypothetical protein, conserved
234614	235231	gene		
			locus_tag	LWC14_03423
234614	235231	CDS		
			product	proteasome subunit beta type-2, putative
149151	149714	gene		
			locus_tag	LWC14_03424
149714	149151	CDS		
			product	Protein of unknown function (DUF3592), putative
85333	87813	gene		
			locus_tag	LWC14_03425
87813	85333	CDS		
			product	transcription factor Tfb2, putative
67623	69344	gene		
			locus_tag	LWC14_03426
69344	67623	CDS		
			product	hypothetical protein, conserved
271052	272437	gene		
